app,method,path,legacy_declarations,go_route_evidence,php_handler,client_consumers,response_evidence,scope_evidence
dashboard,GET,/autoTag/showContactRoom,web/legacy/dashboard/src/api/autoTag.js,internal/server/server.go,-,web/legacy/dashboard/src/views/autoTag/joinRoomShow.vue,client:web/legacy/dashboard/src/views/autoTag/joinRoomShow.vue,internal/server/server.go
dashboard,GET,/autoTag/showContactTime,web/legacy/dashboard/src/api/autoTag.js,internal/server/server.go,-,web/legacy/dashboard/src/views/autoTag/dayPartShow.vue,client:web/legacy/dashboard/src/views/autoTag/dayPartShow.vue,internal/server/server.go
dashboard,GET,/channelCode/contact,web/legacy/dashboard/src/api/channelCode.js,internal/server/server.go,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/channel-code/src/Action/Dashboard/Contact.php#L44,web/legacy/dashboard/src/views/channelCode/index.vue,client:web/legacy/dashboard/src/views/channelCode/index.vue,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/channel-code/src/Action/Dashboard/Contact.php#L44
dashboard,GET,/channelCode/index,web/legacy/dashboard/src/api/channelCode.js,internal/server/server.go,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/channel-code/src/Action/Dashboard/Index.php#L42,web/legacy/dashboard/src/views/channelCode/index.vue,client:web/legacy/dashboard/src/views/channelCode/index.vue,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/channel-code/src/Action/Dashboard/Index.php#L42
dashboard,GET,/channelCode/show,web/legacy/dashboard/src/api/channelCode.js,internal/server/server.go,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/channel-code/src/Action/Dashboard/Show.php#L45,web/legacy/dashboard/src/views/channelCode/store.vue,client:web/legacy/dashboard/src/views/channelCode/store.vue,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/channel-code/src/Action/Dashboard/Show.php#L45
dashboard,GET,/channelCode/statistics,web/legacy/dashboard/src/api/channelCode.js,internal/server/server.go,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/channel-code/src/Action/Dashboard/Statistics.php#L45,web/legacy/dashboard/src/views/channelCode/statistics.vue,client:web/legacy/dashboard/src/views/channelCode/statistics.vue,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/channel-code/src/Action/Dashboard/Statistics.php#L45
dashboard,GET,/channelCode/statisticsIndex,web/legacy/dashboard/src/api/channelCode.js,internal/server/server.go,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/channel-code/src/Action/Dashboard/StatisticsIndex.php#L45,web/legacy/dashboard/src/views/channelCode/statistics.vue,client:web/legacy/dashboard/src/views/channelCode/statistics.vue,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/channel-code/src/Action/Dashboard/StatisticsIndex.php#L45
dashboard,GET,/channelCodeGroup/index,web/legacy/dashboard/src/api/channelCode.js,internal/server/server.go,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/channel-code/src/Action/Dashboard/Group/Index.php#L40,web/legacy/dashboard/src/views/channelCode/index.vue;web/legacy/dashboard/src/views/channelCode/store.vue,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/channel-code/src/Action/Dashboard/Group/Index.php#L40,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/channel-code/src/Action/Dashboard/Group/Index.php#L40
dashboard,GET,/chatTool/config,web/legacy/dashboard/src/api/chatTool.js,internal/server/server.go,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/chat-tool/src/Action/Dashboard/Index.php#L89,web/legacy/dashboard/src/views/chatTool/customer.vue;web/legacy/dashboard/src/views/chatTool/enhance.vue,client:web/legacy/dashboard/src/views/chatTool/customer.vue;client:web/legacy/dashboard/src/views/chatTool/enhance.vue;git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/chat-tool/src/Action/Dashboard/Index.php#L89,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/chat-tool/src/Action/Dashboard/Index.php#L89
dashboard,GET,/clockIn/index,web/legacy/dashboard/src/api/liveCode.js,internal/server/server.go,-,-,internal/server/server.go,internal/server/server.go
