app,method,path,source_file,request_fields,response_fields,auth,corp_scope,go_evidence
dashboard,GET,/contactBatchAdd/remind,web/legacy/dashboard/src/api/contactBatchAdd.js,params:blocked[no-callsite],blocked[no-static-response-fields]@internal/server/server.go,ACCESS_TOKEN,blocked[no-static-corp-scope]@internal/server/server.go,internal/server/server.go
dashboard,GET,/contactBatchAdd/settingEdit,web/legacy/dashboard/src/api/contactBatchAdd.js,params:blocked[no-callsite],blocked[no-static-response-fields]@internal/server/server.go,ACCESS_TOKEN,blocked[no-static-corp-scope]@internal/server/server.go,internal/server/server.go
dashboard,GET,/contactField/index,web/legacy/dashboard/src/api/contactField.js,params:page;perPage;status,fields:list;page,ACCESS_TOKEN,blocked[no-static-corp-scope]@git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/work-contact/src/Action/Dashboard/Field/Index.php#L39,internal/server/server.go
dashboard,GET,/contactField/portrait,web/legacy/dashboard/src/api/workContact.js,params:none,blocked[indirect-response-shape]@git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/work-contact/src/Action/Dashboard/Field/Portrait.php#L42,ACCESS_TOKEN,blocked[no-static-corp-scope]@git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/work-contact/src/Action/Dashboard/Field/Portrait.php#L42,internal/server/server.go
dashboard,GET,/contactFieldPivot/index,web/legacy/dashboard/src/api/workContact.js,params:contactId,blocked[indirect-response-shape]@git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/work-contact/src/Action/Dashboard/FieldPivot/Index.php#L54,ACCESS_TOKEN,blocked[no-static-corp-scope]@git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/work-contact/src/Action/Dashboard/FieldPivot/Index.php#L54,internal/server/server.go
dashboard,GET,/contactMessageBatchSend/contactReceiveIndex,web/legacy/dashboard/src/api/contactMessageBatchSend.js,params:batchId;keyWords;sendStatus,fields:list,ACCESS_TOKEN,blocked[no-static-corp-scope]@git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/contact-message-batch-send/src/Action/Dashboard/ContactReceiveIndex.php#L43,internal/server/server.go
dashboard,GET,/contactMessageBatchSend/employeeSendIndex,web/legacy/dashboard/src/api/contactMessageBatchSend.js,params:batchId;keyWords;sendStatus,fields:list,ACCESS_TOKEN,blocked[no-static-corp-scope]@git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/contact-message-batch-send/src/Action/Dashboard/EmployeeSendIndex.php#L43,internal/server/server.go
dashboard,GET,/contactMessageBatchSend/index,web/legacy/dashboard/src/api/contactMessageBatchSend.js,params:none,fields:list,ACCESS_TOKEN,blocked[no-static-corp-scope]@git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/contact-message-batch-send/src/Action/Dashboard/Index.php#L43,internal/server/server.go
dashboard,GET,/contactMessageBatchSend/messageShow,web/legacy/dashboard/src/api/contactMessageBatchSend.js,params:blocked[no-callsite],blocked[no-static-response-fields]@internal/server/server.go,ACCESS_TOKEN,blocked[no-static-corp-scope]@internal/server/server.go,internal/server/server.go
dashboard,GET,/contactMessageBatchSend/show,web/legacy/dashboard/src/api/contactMessageBatchSend.js,params:batchId,blocked[indirect-response-shape]@git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/contact-message-batch-send/src/Action/Dashboard/Show.php#L43,ACCESS_TOKEN,blocked[no-static-corp-scope]@git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/contact-message-batch-send/src/Action/Dashboard/Show.php#L43,internal/server/server.go
dashboard,GET,/contactMessageBatchSend/showRoom,web/legacy/dashboard/src/api/workRoom.js,params:workRoomId,blocked[indirect-response-shape]@git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/contact-message-batch-send/src/Action/Dashboard/ShowRoom.php#L64,ACCESS_TOKEN,blocked[no-static-corp-scope]@git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/contact-message-batch-send/src/Action/Dashboard/ShowRoom.php#L64,internal/server/server.go
dashboard,GET,/contactSop/index,web/legacy/dashboard/src/api/contactSop.js,params:blocked[no-callsite],blocked[no-static-response-fields]@internal/server/server.go,ACCESS_TOKEN,blocked[no-static-corp-scope]@internal/server/server.go,internal/server/server.go
dashboard,GET,/contactSop/info,web/legacy/dashboard/src/api/contactSop.js,params:blocked[no-callsite],blocked[no-static-response-fields]@internal/server/server.go,ACCESS_TOKEN,blocked[no-static-corp-scope]@internal/server/server.go,internal/server/server.go
dashboard,GET,/contactTransfer/info,web/legacy/dashboard/src/api/contactTransfer.js,params:list;takeoverUserId;type,blocked[indirect-response-shape]@git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/contact-transfer/src/Action/Dashboard/Info.php#L52,ACCESS_TOKEN,server-current-enterprise@git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/contact-transfer/src/Action/Dashboard/Info.php#L52,internal/server/server.go
dashboard,GET,/contactTransfer/log,web/legacy/dashboard/src/api/contactTransfer.js,params:createTimeEnd;createTimeStart;employeeId;mode;name;staffName,blocked[indirect-response-shape]@git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/contact-transfer/src/Action/Dashboard/Log.php#L53,ACCESS_TOKEN,server-current-enterprise@git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/contact-transfer/src/Action/Dashboard/Log.php#L53,internal/server/server.go
dashboard,GET,/contactTransfer/room,web/legacy/dashboard/src/api/contactTransfer.js,params:list;takeoverUserId;type,blocked[indirect-response-shape]@git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/contact-transfer/src/Action/Dashboard/Room.php#L53,ACCESS_TOKEN,server-current-enterprise@git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/contact-transfer/src/Action/Dashboard/Room.php#L53,internal/server/server.go
dashboard,GET,/contactTransfer/saveUnassignedList,web/legacy/dashboard/src/api/contactTransfer.js,params:blocked[no-callsite],fields:none,ACCESS_TOKEN,server-current-enterprise@git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/contact-transfer/src/Action/Dashboard/SaveUnassignedList.php#L55,internal/server/server.go
dashboard,GET,/contactTransfer/unassignedList,web/legacy/dashboard/src/api/contactTransfer.js,params:list;takeoverUserId;type,fields:lastTime;list,ACCESS_TOKEN,server-current-enterprise@git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/contact-transfer/src/Action/Dashboard/UnassignedList.php#L53,internal/server/server.go
dashboard,GET,/corpData/index,web/legacy/dashboard/src/api/corpData.js,params:none,fields:addContactNum;addFriendsNum;addIntoRoomNum;corpMemberNum;lastAddContactNum;lastAddFriendsNum;lastAddIntoRoomNum;lastLossContactNum;lastMonthAddRoomMemberNum;lastMonthAddRoomNum;lastMonthLossContactNum;lastQuitRoomNum;lossContactNum;monthAddRoomMemberNum;monthAddRoomNum;monthLossContactNum;quitRoomNum;roomMemberNum;updateTime;weChatContactNum;weChatRoomNum,ACCESS_TOKEN,server-current-enterprise@git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/index/src/Action/Dashboard/Index.php#L49,internal/server/server.go
dashboard,GET,/corpData/lineChat,web/legacy/dashboard/src/api/corpData.js,params:none,blocked[indirect-response-shape]@git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/index/src/Action/Dashboard/LineChat.php#L42,ACCESS_TOKEN,server-current-enterprise@git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/index/src/Action/Dashboard/LineChat.php#L42,internal/server/server.go
dashboard,GET,/external/tenantIndex,web/legacy/dashboard/src/api/corpData.js,params:domain,fields:guide;license;licenseContactLink;news,ACCESS_TOKEN,blocked[no-static-corp-scope]@internal/server/server.go,internal/server/server.go
dashboard,GET,/greeting/index,web/legacy/dashboard/src/api/greeting.js,params:page;perPage,fields:hadEmployees;hadGeneral;list;page,ACCESS_TOKEN,blocked[no-static-corp-scope]@git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/greeting/src/Action/Dashboard/Index.php#L41,internal/server/server.go
dashboard,GET,/greeting/show,web/legacy/dashboard/src/api/greeting.js,params:greetingId,fields:employees;greetingId;mediumContent;mediumId;rangeType;words,ACCESS_TOKEN,blocked[no-static-corp-scope]@git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/greeting/src/Action/Dashboard/Show.php#L57,internal/server/server.go
dashboard,GET,/lottery/index,web/legacy/dashboard/src/api/lottery.js,params:blocked[no-callsite],blocked[no-static-response-fields]@internal/server/server.go,ACCESS_TOKEN,blocked[no-static-corp-scope]@internal/server/server.go,internal/server/server.go
dashboard,GET,/lottery/info,web/legacy/dashboard/src/api/lottery.js,params:blocked[no-callsite],blocked[no-static-response-fields]@internal/server/server.go,ACCESS_TOKEN,blocked[no-static-corp-scope]@internal/server/server.go,internal/server/server.go
dashboard,GET,/lottery/share,web/legacy/dashboard/src/api/lottery.js,params:blocked[no-callsite],blocked[no-static-response-fields]@internal/server/server.go,ACCESS_TOKEN,blocked[no-static-corp-scope]@internal/server/server.go,internal/server/server.go
dashboard,GET,/lottery/show,web/legacy/dashboard/src/api/lottery.js,params:blocked[no-callsite],blocked[no-static-response-fields]@internal/server/server.go,ACCESS_TOKEN,blocked[no-static-corp-scope]@internal/server/server.go,internal/server/server.go
dashboard,GET,/lottery/writeOff,web/legacy/dashboard/src/api/lottery.js,params:blocked[no-callsite],blocked[no-static-response-fields]@internal/server/server.go,ACCESS_TOKEN,blocked[no-static-corp-scope]@internal/server/server.go,internal/server/server.go
dashboard,GET,/medium/index,web/legacy/dashboard/src/api/mediumGroup.js,params:mediumGroupId;page;perPage;searchStr;searchValue;type,fields:list;page,ACCESS_TOKEN,blocked[no-static-corp-scope]@git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/medium/src/Action/Dashboard/Index.php#L43,internal/server/server.go
dashboard,GET,/medium/show,web/legacy/dashboard/src/api/mediumGroup.js,params:id,blocked[indirect-response-shape]@git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/medium/src/Action/Dashboard/Show.php#L38,ACCESS_TOKEN,blocked[no-static-corp-scope]@git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/medium/src/Action/Dashboard/Show.php#L38,internal/server/server.go
dashboard,GET,/mediumGroup/index,web/legacy/dashboard/src/api/mediumGroup.js,params:none,blocked[indirect-response-shape]@git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/medium/src/Action/Dashboard/Group/Index.php#L36,ACCESS_TOKEN,blocked[no-static-corp-scope]@git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/medium/src/Action/Dashboard/Group/Index.php#L36,internal/server/server.go
dashboard,GET,/officialAccount/getPreAuthUrl,web/legacy/dashboard/src/api/officialAccount.js,params:none,fields:url,ACCESS_TOKEN,server-current-enterprise@git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/official-account/src/Action/Dashboard/GetPreAuthUrl.php#L64,internal/server/server.go
dashboard,GET,/officialAccount/index,web/legacy/dashboard/src/api/lottery.js,params:none,blocked[indirect-response-shape]@git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/official-account/src/Action/Dashboard/Index.php#L78,ACCESS_TOKEN,server-current-enterprise@git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/official-account/src/Action/Dashboard/Index.php#L78,internal/server/server.go
dashboard,GET,/radar/index,web/legacy/dashboard/src/api/radar.js,params:blocked[no-callsite],blocked[no-static-response-fields]@internal/server/server.go,ACCESS_TOKEN,blocked[no-static-corp-scope]@internal/server/server.go,internal/server/server.go
dashboard,GET,/radar/indexChannel,web/legacy/dashboard/src/api/radar.js,params:radar_id,fields:list,ACCESS_TOKEN,blocked[no-static-corp-scope]@internal/server/server.go,internal/server/server.go
dashboard,GET,/radar/indexChannelLink,web/legacy/dashboard/src/api/radar.js,params:radar_id,fields:list,ACCESS_TOKEN,blocked[no-static-corp-scope]@internal/server/server.go,internal/server/server.go
dashboard,GET,/radar/info,web/legacy/dashboard/src/api/radar.js,params:blocked[no-callsite],blocked[no-static-response-fields]@internal/server/server.go,ACCESS_TOKEN,blocked[no-static-corp-scope]@internal/server/server.go,internal/server/server.go
dashboard,GET,/radar/radarArticle,web/legacy/dashboard/src/api/radar.js,params:blocked[no-callsite],blocked[no-static-response-fields]@internal/server/server.go,ACCESS_TOKEN,blocked[no-static-corp-scope]@internal/server/server.go,internal/server/server.go
dashboard,GET,/radar/show,web/legacy/dashboard/src/api/radar.js,params:blocked[no-callsite],blocked[no-static-response-fields]@internal/server/server.go,ACCESS_TOKEN,blocked[no-static-corp-scope]@internal/server/server.go,internal/server/server.go
dashboard,GET,/radar/showChannel,web/legacy/dashboard/src/api/radar.js,params:blocked[no-callsite],blocked[no-static-response-fields]@internal/server/server.go,ACCESS_TOKEN,blocked[no-static-corp-scope]@internal/server/server.go,internal/server/server.go
dashboard,GET,/radar/showContact,web/legacy/dashboard/src/api/radar.js,params:channelId;radar_id;type,fields:list,ACCESS_TOKEN,blocked[no-static-corp-scope]@internal/server/server.go,internal/server/server.go
dashboard,GET,/role/index,web/legacy/dashboard/src/api/role.js,params:name;page;perPage,blocked[indirect-response-shape]@git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/rbac/src/Action/Dashboard/Role/Index.php#L47,ACCESS_TOKEN,server-current-enterprise@git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/rbac/src/Action/Dashboard/Role/Index.php#L47,internal/server/server.go
